,Tree_number,Tree_species,Variable,Instrument,Value,...6,* Please note that the values for DBHs should be an average of two measurements taken at 90 degrees from each other.
1,15,eastern white pine (Pinus strobus),DBH,Diameter tape,54.8,NA,NA
2,15,eastern white pine (Pinus strobus),DBH,Biltmore stick,61,NA,NA
3,15,eastern white pine (Pinus strobus),DBH,Calipers,53.7,NA,NA
4,15,eastern white pine (Pinus strobus),Height,Staff hypsometer,30,NA,NA
5,15,eastern white pine (Pinus strobus),Height,Clinometer,20.3,NA,NA
6,13,red oak (Quercus rubra),DBH,Diameter tape,40.8,NA,NA
7,13,red oak (Quercus rubra),DBH,Biltmore stick,42.5,NA,NA
8,13,red oak (Quercus rubra),DBH,Calipers,38.2,NA,NA
9,13,red oak (Quercus rubra),Height,Staff hypsometer,31,NA,NA
10,13,red oak (Quercus rubra),Height,Clinometer,30.1,NA,NA
11,14,red maple (Acer rubrum),DBH,Diameter tape,74.2,NA,NA
12,14,red maple (Acer rubrum),DBH,Biltmore stick,80,NA,NA
13,14,red maple (Acer rubrum),DBH,Calipers,70.23,NA,NA
14,14,red maple (Acer rubrum),Height,Staff hypsometer,25.2,NA,NA
15,14,red maple (Acer rubrum),Height,Clinometer,28,NA,NA
16,10,red maple (Acer rubrum),DBH,Diameter tape,18.6,NA,NA
17,10,red maple (Acer rubrum),DBH,Biltmore stick,18,NA,NA
18,10,red maple (Acer rubrum),DBH,Calipers,17.78,NA,NA
19,10,red maple (Acer rubrum),Height,Staff hypsometer,21.5,NA,NA
20,10,red maple (Acer rubrum),Height,Clinometer,21.762,NA,NA
21,2,black birch (Betula lenta),DBH,Diameter tape,31.7,Cm,NA
22,2,black birch (Betula lenta),Height,Clinometer,13.95,M,NA
23,2,black birch (Betula lenta),DBH,Calipers,27.3,Cm,NA
24,2,black birch (Betula lenta),Height,Biltmore stick,24.6,M,NA
25,2,black birch (Betula lenta),DBH,Biltmore stick,34,Cm,NA
26,14,sugar maple (Acer saccharum),DBH,Diameter tape,74,Cm,NA
27,14,sugar maple (Acer saccharum),DBH,Calipers,72,Cm,NA
28,14,sugar maple (Acer saccharum),DBH,Biltmore stick,70,Cm,NA
29,14,sugar maple (Acer saccharum),Height,Biltmore stick,25.2,M,NA
30,14,sugar maple (Acer saccharum),Height,Clinometer,24.1,M,NA
31,10,sugar maple (Acer saccharum),DBH,Calipers,16.6,cm,NA
32,10,sugar maple (Acer saccharum),DBH,Diameter tape,18.5,cm,NA
33,10,sugar maple (Acer saccharum),Height,Biltmore stick,14,M,NA
34,10,sugar maple (Acer saccharum),DBH,Biltmore stick,22,cm,NA
35,10,sugar maple (Acer saccharum),Height,Clinometer,15.4,M,NA
36,13,red oak (Quercus rubra),DBH,Calipers,39.2,Cm,NA
37,13,red oak (Quercus rubra),DBH,Diameter tape,40.1,Cm,NA
38,13,red oak (Quercus rubra),Height,Clinometer,15.6,M,NA
39,13,red oak (Quercus rubra),Height,Biltmore stick,22.03,M,NA
40,13,red oak (Quercus rubra),DBH,Biltmore stick,44,Cm,NA
41,10,sugar maple (Acer saccharum),DBH,Diameter tape,16,cm,NA
42,10,sugar maple (Acer saccharum),DBH,Calipers,16.7005,cm,NA
43,10,sugar maple (Acer saccharum),DBH,Biltmore stick,22.5,cm,NA
44,10,sugar maple (Acer saccharum),Height,Staff hypsometer,28.956,m,NA
45,10,sugar maple (Acer saccharum),Height,Clinometer,27.8225,m,NA
46,3,eastern white pine (Pinus strobus),DBH,Diameter tape,83,Cm,NA
47,3,eastern white pine (Pinus strobus),Height,Staff hypsometer,25.502,M,NA
