Week,Group,Variable,Method,Value
2,1,Total Basal area,Fixed Area Plot,53.2756455
2,1,Coarse Woody Material,Fixed Area Plot,32.45134398
2,1,Coarse Woody Material,Line Intercept Sampling,39.00240854
2,2,Total Basal area,Fixed Area Plot,47.90747577
2,2,Total Basal area,Variable Radius Plot,41.4
2,2,Coarse Woody Material,Fixed Area Plot,1.87
2,3,Coarse Woody Material,Line Intercept Sampling,20.34715439
2,3,Total Basal area,Variable Radius Plot,32.2
2,3,Total Basal area,Fixed Area Plot,79
2,3,Coarse Woody Material,Fixed Area Plot,23.4
2,4,Total Basal area,Fixed Area Plot,63.69044711
2,4,Total Basal area,Variable Radius Plot,55.2
2,4,Coarse Woody Material,Fixed Area Plot,9.473962063
2,4,Coarse Woody Material,Line Intercept Sampling,7.757875196
2,5,Total Basal area,Fixed Area Plot,54.39215541
2,5,Total Basal area,Variable Radius Plot,46
2,5,Coarse Woody Material,Fixed Area Plot,78.71281627
2,5,Coarse Woody Material,Line Intercept Sampling,51.8
2,6,Total Basal area,Fixed Area Plot,70.19873784
2,6,Total Basal area,Variable Radius Plot,46
2,6,Coarse Woody Material,Line Intercept Sampling,9.35
2,6,Coarse Woody Material,Fixed Area Plot,31.5
2,7,Total Basal area,Fixed Area Plot,72.40433739
2,7,Total Basal area,Variable Radius Plot,39.1
2,7,Coarse Woody Material,Fixed Area Plot,3.748116819
2,7,Coarse Woody Material,Line Intercept Sampling,27.4
2,8,Total Basal area,Fixed Area Plot,71.278977
2,8,Total Basal area,Variable Radius Plot,25.3
2,8,Coarse Woody Material,Fixed Area Plot,30.6
1,1,Total Basal area,Fixed Area Plot,32.32
1,1,Total Basal area,Variable Radius Plot,55.2
1,2,Total Basal area,Fixed Area Plot,33.69403307
1,2,Total Basal area,Variable Radius Plot,23
1,2,Coarse Woody Material,Fixed Area Plot,26.16872966
1,2,Coarse Woody Material,Line Intercept Sampling,45.2146707
1,3,Total Basal area,Fixed Area Plot,46
1,3,Coarse Woody Material,Fixed Area Plot,32.97695908
1,4,Total Basal area,Fixed Area Plot,87.55344675
1,4,Total Basal area,Variable Radius Plot,29.9
1,4,Coarse Woody Material,Fixed Area Plot,17.4
1,4,Coarse Woody Material,Line Intercept Sampling,32.7
1,5,Total Basal area,Fixed Area Plot,57.1
1,5,Total Basal area,Variable Radius Plot,34.5
1,5,Coarse Woody Material,Fixed Area Plot,114.6634044
1,5,Coarse Woody Material,Line Intercept Sampling,45.4
1,6,Total Basal area,Fixed Area Plot,67.56169844
1,6,Total Basal area,Variable Radius Plot,43.7
1,6,Coarse Woody Material,Line Intercept Sampling,73.2467021
1,7,Total Basal area,Fixed Area Plot,60.8456105
1,7,Total Basal area,Variable Radius Plot,50.6
1,7,Coarse Woody Material,Fixed Area Plot,28.29046628
1,7,Coarse Woody Material,Line Intercept Sampling,27.3
1,8,Total Basal area,Fixed Area Plot,19.65834602
1,8,Total Basal area,Variable Radius Plot,52.9
1,8,Coarse Woody Material,Line Intercept Sampling,13.5
3,1,Total Basal area,Fixed Area Plot,75.88434662
3,1,Total Basal area,Variable Radius Plot,57.5
3,1,Coarse Woody Material,Line Intercept Sampling,29.7
3,2,Total Basal area,Fixed Area Plot,52.35011051
3,2,Total Basal area,Variable Radius Plot,41.4
3,2,Coarse Woody Material,Fixed Area Plot,75.35931555
3,2,Coarse Woody Material,Line Intercept Sampling,44.60960006
3,3,Total Basal area,Fixed Area Plot,51.7166265
3,3,Total Basal area,Variable Radius Plot,23.5
3,3,Coarse Woody Material,Fixed Area Plot,202.6
3,3,Coarse Woody Material,Line Intercept Sampling,17.40051388
3,4,Total Basal area,Fixed Area Plot,77.4
3,4,Total Basal area,Variable Radius Plot,32.2
3,4,Coarse Woody Material,Fixed Area Plot,34
3,4,Coarse Woody Material,Line Intercept Sampling,141.638443
3,5,Total Basal area,Fixed Area Plot,50.51046809
3,5,Coarse Woody Material,Line Intercept Sampling,97.67273933
3,5,Coarse Woody Material,Fixed Area Plot,21.04938106
3,6,Total Basal area,Variable Radius Plot,32.2
3,6,Coarse Woody Material,Line Intercept Sampling,27.11286497
3,7,Total Basal area,Fixed Area Plot,66.6
3,7,Total Basal area,Variable Radius Plot,29.9
3,7,Coarse Woody Material,Fixed Area Plot,31.62743373
3,7,Coarse Woody Material,Line Intercept Sampling,12.5892792
